"age","sex","imd","le","qale"
0,"Pooled",1,77.3920944376519,62.2129313440922
0,"Pooled",2,80.2004901349879,65.4884014157066
0,"Pooled",3,81.8882407005914,69.5501554360406
0,"Pooled",4,83.0675511213025,71.1139192995355
0,"Pooled",5,84.3561068227428,73.2890593825173
0,"Female",1,79.6757992620864,62.1977818241489
0,"Female",2,82.1552556300005,65.2016796548891
0,"Female",3,83.5640811154805,69.5347361307089
0,"Female",4,84.6220066749209,71.5833715865796
0,"Female",5,85.76428716871,73.4702970788613
0,"Male",1,75.1805445584783,62.3692036699406
0,"Male",2,78.2356525979932,65.4807350363761
0,"Male",3,80.1683358511389,69.5227865491906
0,"Male",4,81.4530682034043,70.6303470072437
0,"Male",5,82.8659471580181,73.0147061515895
16,"Pooled",1,61.9387720436801,48.263290431982
16,"Pooled",2,64.6409223953543,51.6911753209607
16,"Pooled",3,66.265397396666,55.2999245765945
16,"Pooled",4,67.3911311457656,57.0603153589179
16,"Pooled",5,68.6831123910945,59.0730332312592
16,"Female",1,64.1804429068339,48.3854184211739
16,"Female",2,66.55323619851,52.3027967275844
16,"Female",3,67.9253655396991,55.5251825169832
16,"Female",4,68.8966550863497,57.3088430717127
16,"Female",5,70.0640140250307,59.5951939878246
16,"Male",1,59.7629831614159,48.2273852635169
16,"Male",2,62.7131912777954,51.0965552688989
16,"Male",3,64.559883681387,55.0479539039317
16,"Male",4,65.8167549624523,56.7428671649475
16,"Male",5,67.2156813069374,58.4791106820908
40,"Pooled",1,38.7560265713475,28.0681462826006
40,"Pooled",2,41.2610976207931,31.1554124196486
40,"Pooled",3,42.8454882698313,34.4793726016696
40,"Pooled",4,43.9211661856088,36.0761316667814
40,"Pooled",5,45.1671839036111,37.9258484316352
40,"Female",1,40.7356191194377,28.4846460931191
40,"Female",2,42.9956087718713,32.0740264422494
40,"Female",3,44.3402900213825,34.8351307527586
40,"Female",4,45.2944254734726,36.4597123902244
40,"Female",5,46.406617101707,38.6011482052799
40,"Male",1,36.8212203829693,27.6968354748227
40,"Male",2,39.4917226803315,30.2590636363434
40,"Male",3,41.2866419353657,34.0809690839289
40,"Male",4,42.4707964676008,35.6732711360902
40,"Male",5,43.8298187717501,37.1682612136481
65,"Pooled",1,17.5872178943989,12.157171764252
65,"Pooled",2,19.1746497348957,13.7630100538649
65,"Pooled",3,20.1748980120732,15.3728058966961
65,"Pooled",4,20.8912116830776,16.4025161384485
65,"Pooled",5,21.8354178316637,17.4024645730243
65,"Female",1,18.800408306972,12.2758645070947
65,"Female",2,20.3993513578215,14.3666582455995
65,"Female",3,21.278999343382,15.8663908602554
65,"Female",4,21.9581409413865,16.9672862413121
65,"Female",5,22.8829807624406,17.8702330011949
65,"Male",1,16.3023299685647,12.0499740209729
65,"Male",2,17.8427540490627,13.1729957583846
65,"Male",3,18.967418268599,14.7973880687032
65,"Male",4,19.7183352598428,15.7701606179884
65,"Male",5,20.6749032645981,16.8529827992022
